Admissions/Covers,Members,date
135,53,2024-04-01
119,35,2024-04-02
100,59,2024-04-03
156,59,2024-04-04
176,63,2024-04-05
207,35,2024-04-06
182,66,2024-04-07
44,35,2024-04-08
59,35,2024-04-09
91,56,2024-04-10
83,27,2024-04-11
159,69,2024-04-12
453,64,2024-04-13
253,99,2024-04-14
154,9,2024-04-15
112,48,2024-04-16
151,53,2024-04-17
147,48,2024-04-18
235,56,2024-04-19
372,58,2024-04-20
357,87,2024-04-21
179,55,2024-04-22
93,31,2024-04-23
96,63,2024-04-24
54,40,2024-04-25
100,39,2024-04-26
286,56,2024-04-27
232,92,2024-04-28
102,59,2024-04-29
98,44,2024-04-30
