Admissions/Covers,Members,date
524,75,2022-10-01
160,20,2022-10-02
117,49,2022-10-03
334,76,2022-10-04
236,37,2022-10-05
299,69,2022-10-06
337,62,2022-10-07
660,69,2022-10-08
496,59,2022-10-09
253,62,2022-10-10
240,48,2022-10-11
213,48,2022-10-12
375,61,2022-10-13
524,59,2022-10-14
725,72,2022-10-15
366,71,2022-10-16
206,62,2022-10-17
92,22,2022-10-18
167,67,2022-10-19
246,50,2022-10-20
359,65,2022-10-21
395,57,2022-10-22
150,40,2022-10-23
80,28,2022-10-24
80,13,2022-10-25
73,43,2022-10-26
62,27,2022-10-27
135,78,2022-10-28
287,88,2022-10-29
189,87,2022-10-30
50,41,2022-10-31
