Admissions/Covers,Members,date
864,72,2023-08-01
771,84,2023-08-02
835,127,2023-08-03
906,111,2023-08-04
886,127,2023-08-05
887,124,2023-08-06
755,91,2023-08-07
745,93,2023-08-08
659,109,2023-08-09
517,73,2023-08-10
768,90,2023-08-11
958,109,2023-08-12
621,151,2023-08-13
362,98,2023-08-14
450,122,2023-08-15
568,111,2023-08-16
332,99,2023-08-17
513,99,2023-08-18
893,123,2023-08-19
624,127,2023-08-20
386,105,2023-08-21
339,53,2023-08-22
371,80,2023-08-23
332,82,2023-08-24
386,51,2023-08-25
627,69,2023-08-26
527,101,2023-08-27
343,100,2023-08-28
283,86,2023-08-29
302,101,2023-08-30
310,82,2023-08-31
