Admissions/Covers,Members,Total Admissions,date
399,90,489,2023-01-01
310,67,377,2023-01-02
119,31,150,2023-01-03
147,59,206,2023-01-04
208,46,254,2023-01-05
174,60,234,2023-01-06
469,91,560,2023-01-07
239,82,321,2023-01-08
67,49,116,2023-01-09
10,7,17,2023-01-10
79,28,107,2023-01-11
88,51,139,2023-01-12
182,80,262,2023-01-13
503,86,589,2023-01-14
312,62,374,2023-01-15
157,66,223,2023-01-16
29,6,35,2023-01-17
31,25,56,2023-01-18
53,34,87,2023-01-19
167,45,212,2023-01-20
380,47,427,2023-01-21
243,47,290,2023-01-22
45,45,90,2023-01-23
2,0,2,2023-01-24
72,30,102,2023-01-25
83,57,140,2023-01-26
184,54,238,2023-01-27
355,65,420,2023-01-28
198,53,251,2023-01-29
52,30,82,2023-01-30
7,14,21,2023-01-31
58,44,102,2023-02-01
95,46,141,2023-02-02
178,75,253,2023-02-03
434,116,550,2023-02-04
206,81,287,2023-02-05
49,22,71,2023-02-06
7,16,23,2023-02-07
117,37,154,2023-02-08
70,51,121,2023-02-09
155,53,208,2023-02-10
424,73,497,2023-02-11
151,56,207,2023-02-12
86,23,109,2023-02-13
16,11,27,2023-02-14
19,8,27,2023-02-15
84,41,125,2023-02-16
224,50,274,2023-02-17
506,66,572,2023-02-18
393,35,428,2023-02-19
189,52,241,2023-02-20
26,16,42,2023-02-21
0,4,4,2023-02-22
75,33,108,2023-02-23
123,47,170,2023-02-24
344,97,441,2023-02-25
214,63,277,2023-02-26
90,41,131,2023-02-27
-3,12,9,2023-02-28
50,21,71,2023-03-01
61,36,97,2023-03-02
96,47,143,2023-03-03
344,79,423,2023-03-04
210,63,273,2023-03-05
81,25,106,2023-03-06
0,0,0,2023-03-07
85,29,114,2023-03-08
122,60,182,2023-03-09
68,27,95,2023-03-10
167,34,201,2023-03-11
242,64,306,2023-03-12
216,18,234,2023-03-13
75,16,91,2023-03-14
223,38,261,2023-03-15
267,27,294,2023-03-16
301,50,351,2023-03-17
525,73,598,2023-03-18
468,79,547,2023-03-19
222,32,254,2023-03-20
41,13,54,2023-03-21
180,42,222,2023-03-22
223,55,278,2023-03-23
243,62,305,2023-03-24
326,68,394,2023-03-25
319,76,395,2023-03-26
160,32,192,2023-03-27
52,6,58,2023-03-28
213,58,271,2023-03-29
68,7,75,2023-03-30
214,49,263,2023-03-31
399,79,478,2023-04-01
229,56,285,2023-04-02
61,4,65,2023-04-03
0,0,0,2023-04-04
85,35,120,2023-04-05
171,52,223,2023-04-06
158,43,201,2023-04-07
353,79,432,2023-04-08
180,56,236,2023-04-09
84,47,131,2023-04-10
40,6,46,2023-04-11
117,39,156,2023-04-12
76,28,104,2023-04-13
124,49,173,2023-04-14
287,74,361,2023-04-15
191,92,283,2023-04-16
0,0,0,2023-04-17
0,0,0,2023-04-18
30,0,30,2023-04-19
0,0,0,2023-04-20
0,1,1,2023-04-21
0,0,0,2023-04-22
0,0,0,2023-04-23
0,0,0,2023-04-24
0,0,0,2023-04-25
91,39,130,2023-04-26
81,55,136,2023-04-27
121,60,181,2023-04-28
445,104,549,2023-04-29
271,101,372,2023-04-30
135,33,168,2023-05-01
21,18,39,2023-05-02
96,36,132,2023-05-03
130,46,176,2023-05-04
127,47,174,2023-05-05
353,68,421,2023-05-06
166,92,258,2023-05-07
-1,0,-1,2023-05-08
82,54,136,2023-05-09
129,24,153,2023-05-10
86,33,119,2023-05-11
