Admissions/Covers,Members,date
629,105,2024-06-01
688,151,2024-06-02
430,70,2024-06-03
511,71,2024-06-04
478,91,2024-06-05
558,121,2024-06-06
497,84,2024-06-07
770,106,2024-06-08
627,138,2024-06-09
466,87,2024-06-10
600,98,2024-06-11
646,96,2024-06-12
727,94,2024-06-13
437,39,2024-06-14
871,136,2024-06-15
795,122,2024-06-16
671,88,2024-06-17
747,83,2024-06-18
750,141,2024-06-19
519,79,2024-06-20
536,52,2024-06-21
899,94,2024-06-22
710,152,2024-06-23
745,137,2024-06-24
758,120,2024-06-25
519,100,2024-06-26
398,63,2024-06-27
896,109,2024-06-28
662,106,2024-06-29
822,124,2024-06-30
